snapshot_date,source_url,retrieved_at_utc,registry_number,ticker,registry_name,registrar,registry_nominal,detail_url,has_standard_four_letter_ticker
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,151,BMTR,GLOBAL MEDIACOM Tbk,BSRE1 - BSR INDONESIA PT.,100,https://web.ksei.co.id/services/registered-securities/shares/lc/BMTR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,152,BNBA,BANK BUMI ARTA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BNBA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,153,BNBR,BAKRIE AND BROTHERS Tbk,"EDI01 - ELECTRONIC DATA INTERCHANGE INDONESIA, PT",50000,https://web.ksei.co.id/services/registered-securities/shares/lc/BNBR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,154,BNGA,BANK CIMB NIAGA Tbk,"BIME1 - BIMA REGISTRA, PT",5000,https://web.ksei.co.id/services/registered-securities/shares/lc/BNGA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,155,BNII,BANK MAYBANK INDONESIA Tbk,"SIGU1 - SINARTAMA GUNITA, PT",900,https://web.ksei.co.id/services/registered-securities/shares/lc/BNII,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,156,BNLI,BANK PERMATA Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",12500,https://web.ksei.co.id/services/registered-securities/shares/lc/BNLI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,157,BOAT,NEWPORT MARINE SERVICES Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",5,https://web.ksei.co.id/services/registered-securities/shares/lc/BOAT,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,158,BOBA,FORMOSA INGREDIENT FACTORY Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/BOBA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,159,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,"SHIN1 - SHARESTAR INDONESIA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BOGA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,160,BOLA,BALI BINTANG SEJAHTERA Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",10,https://web.ksei.co.id/services/registered-securities/shares/lc/BOLA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,161,BOLT,GARUDA METALINDO Tbk,"RISR1 - RAYA SAHAM REGISTRA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BOLT,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,162,BOSS,BORNEO OLAH SARANA SUKSES Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BOSS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,163,BPFI,WOORI FINANCE INDONESIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BPFI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,164,BPII,BATAVIA PROSPERINDO INTERNASIONAL Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",5,https://web.ksei.co.id/services/registered-securities/shares/lc/BPII,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,165,BPTR,BATAVIA PROSPERINDO TRANS Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BPTR,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,166,BRAM,INDO KORDSA Tbk,"EDI01 - ELECTRONIC DATA INTERCHANGE INDONESIA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/BRAM,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,167,BRAU,BERAU COAL ENERGY Tbk,"SIGU1 - SINARTAMA GUNITA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BRAU,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,168,BREN,BARITO RENEWABLES ENERGY Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",150,https://web.ksei.co.id/services/registered-securities/shares/lc/BREN,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,169,BRIS,BANK SYARIAH INDONESIA (PERSERO) Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/BRIS,True
